#,Symbol,Trades,Profit Trades %,Total Profit $,Profit Factor,Max Drawdown %
1,EWW,179,74,132130,1.67,0.00
2,XLF,174,74,195981,2.48,0.00
3,EWH,173,68,70153,1.40,0.00
4,VOLT,173,65,-24082,0.96,1.00
5,SLYG,171,74,122466,1.76,0.00
6,SMH,170,73,219379,2.28,0.00
7,BBH,169,75,196140,2.39,0.00
8,EWC,169,70,73704,1.45,0.00
9,IBB,169,72,129215,1.79,0.00
10,EWY,168,70,234429,2.19,0.00
11,EWZ,168,76,172793,1.62,0.00
12,IYG,168,77,147394,1.90,0.00
13,OIH,168,66,21211,1.06,1.00
14,QQQ,168,79,257574,3.51,0.00
15,EWN,167,73,125081,1.89,0.00
16,PPH,166,69,41224,1.31,0.00
17,IJT,164,77,112626,1.69,0.00
18,IWO,164,73,119269,1.65,0.00
19,XLE,164,68,62871,1.29,1.00
20,EWO,163,69,68433,1.30,1.00
21,IYE,163,71,69881,1.36,1.00
22,IYZ,163,67,38112,1.20,1.00
23,JPXN,163,79,130555,2.21,0.00
24,EWJ,162,75,125242,2.01,0.00
25,IYF,162,78,143922,2.14,0.00
26,IUSV,161,76,86124,1.75,0.00
27,DIA,160,73,100982,2.31,0.00
28,EWK,160,64,20327,1.09,0.00
29,IJJ,160,79,72322,1.43,0.00
30,IJR,160,76,102082,1.68,0.00
31,SPTM,160,74,126710,2.49,0.00
32,XLI,160,74,70346,1.47,0.00
33,XLK,160,72,145271,2.15,0.00
34,XLY,160,74,122382,1.96,0.00
35,EWM,159,60,35267,1.21,0.00
36,EWP,159,73,129213,1.77,0.00
37,EWT,159,74,167362,2.15,0.00
38,GLOW,159,74,602601,2.30,1.00
39,IXG,159,73,100352,1.66,0.00
40,IYM,159,70,81293,1.44,0.00
41,MDY,159,78,119744,1.82,0.00
42,PSQ,159,62,19277,1.12,1.00
43,SPYV,159,75,112579,2.28,0.00
44,XLB,159,68,69682,1.42,0.00
45,DGT,158,68,99414,1.90,0.00
46,IJS,158,77,78974,1.51,0.00
47,QID,158,61,22818,1.08,1.00
48,BCOR,157,66,35720,1.07,1.00
49,IJH,157,76,99850,1.61,0.00
50,IUSG,157,75,122634,2.11,0.00
51,SPYG,157,75,167350,2.43,0.00
52,EWD,156,65,83092,1.41,0.00
53,EWG,156,68,56938,1.29,0.00
54,EZU,156,71,99343,1.70,0.00
55,IGE,156,72,49318,1.25,1.00
56,IWD,156,73,55388,1.53,0.00
57,IWF,156,74,146036,2.30,0.00
58,IWM,156,76,124839,1.77,0.00
59,IXC,156,68,47247,1.27,1.00
60,IYC,156,74,70807,1.48,0.00
